# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FlushQueue.waitingTimeAvgNs,1783317273889000000,1783317282342000000,8.933347322222222E8
NonBlockingReadAction.failedExecutionTimeUs,1783317273889000000,1783317282342000000,0
FlushQueue.executionTimeAvgNs,1783317273889000000,1783317282342000000,43954.71957671957
FlushQueue.queueSizeMax,1783317273889000000,1783317282342000000,495
WriteAction.executionsCount,1783317273889000000,1783317282342000000,1
FlushQueue.waitingTimeMaxNs,1783317273889000000,1783317282342000000,5536481279
AWTEventQueue.dispatchTimeAvgNs,1783317273889000000,1783317282342000000,3500849.4858902
FlushQueue.executionTimeMaxNs,1783317273889000000,1783317282342000000,5210111
FlushQueue.waitingTime90PNs,1783317273889000000,1783317282342000000,3573547007
AWTEventQueue.eventsDispatched,1783317273889000000,1783317282342000000,1949
FlushQueue.queueSize90P,1783317273889000000,1783317282342000000,389
AWTEventQueue.dispatchTimeTotalNS,1783317273889000000,1783317282342000000,6827131983
NonBlockingReadAction.failedExecutionsCount,1783317273889000000,1783317282342000000,0
AWTEventQueue.dispatchTime90PNs,1783317273889000000,1783317282342000000,38399
NonBlockingReadAction.finalizedExecutionTimeUs,1783317273889000000,1783317282342000000,39136
ReadAction.executionsCount,1783317273889000000,1783317282342000000,50085
AWTEventQueue.dispatchTimeMaxNs,1783317273889000000,1783317282342000000,6710886399
FlushQueue.executionTime90PNs,1783317273889000000,1783317282342000000,60159
FlushQueue.tasksExecuted,1783317273889000000,1783317282342000000,1323
NonBlockingReadAction.finalizedExecutionsCount,1783317273889000000,1783317282342000000,15
FlushQueue.queueSizeAvg,1783317273889000000,1783317282342000000,121.36281179138322
workspaceModel.global.apply.state.to.project.builder.ms,1783317273889000000,1783317282342000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1783317273889000000,1783317282342000000,0
jps.global.handle.changed.events.ms,1783317273889000000,1783317282342000000,0
workspaceModel.global.apply.state.to.project.ms,1783317273889000000,1783317282342000000,0
workspaceModel.sync.entities.ms,1783317273889000000,1783317282342000000,0
jps.global.initialize.library.bridges.after.loading.ms,1783317273889000000,1783317282342000000,2
workspaceModel.mutableEntityStorage.to.snapshot.ms,1783317273889000000,1783317282342000000,1
jps.global.get.library.ms,1783317273889000000,1783317282342000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1783317273889000000,1783317282342000000,0
workspaceModel.load.cache.from.file.ms,1783317273889000000,1783317282342000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1783317273889000000,1783317282342000000,0
workspaceModel.global.updates.count,1783317273889000000,1783317282342000000,0
